Question Number,Question,Option A,Option B,Option C,Option D,Correct Option,correct_ans_longest
208,Why is IPv6 adoption important?,It provides more address space than IPv4.,It disables DNS lookups.,It uses longer domain names.,It runs only on fiber networks.,A,True
209,Why is Git used in software development?,It stores only video files.,It compiles the codebase.,It tracks changes and supports collaboration.,It scans for malware.,C,True
210,Why is synthetic data used in AI training?,It skips data preprocessing.,It prevents model training.,It lowers GPU usage.,It supplements real data when limited.,D,True
211,Why is transfer learning used in AI?,It reuses knowledge from existing models.,It reduces server temperature.,It stores new datasets locally.,It skips the training process.,A,True
212,Why is SSH used instead of Telnet?,It removes DNS entries.,It encrypts data during transfer.,It adds new network devices.,It boosts internet speed.,B,False
213,Why is anomaly detection used in monitoring systems?,It delays alerts by design.,It labels training data.,It converts logs to images.,It flags events that deviate from norms.,D,True
214,Why is a confusion matrix helpful?,It shows classification performance.,It replaces test data.,It measures training loss.,It predicts future outcomes.,A,False
215,Why is dropout used during training?,It prevents overfitting by turning off neurons.,It adds noise to output.,It resets batch size.,It adjusts learning rate.,A,True
216,Why is an API gateway useful in microservices?,It merges logs into one file.,It slows traffic.,It manages requests between services.,It encrypts mobile apps.,C,False
217,Why is indexing used in databases?,It reduces storage space.,It hides primary keys.,It speeds up search queries.,It filters column types.,C,False
218,Why is a load balancer used in web services?,It generates backup logs.,It deletes cache on reload.,It splits traffic among servers.,It switches IP addresses.,C,False
219,Why is multi-factor authentication safer?,It combines multiple ID methods.,It uses stronger passwords.,It deletes session history.,It hides the login screen.,A,False
220,Why are epochs important in training models?,They modify input format.,They replace optimizers.,They define passes through data.,They reduce feature count.,C,False
221,Why is HTTPS considered secure for data transfer?,It reduces file size.,It blocks image loading.,It hides the URL path.,It encrypts the communication channel.,D,True
222,Why do we use firewalls in network systems?,They delete backup files.,They restart applications.,They scan user photos.,They block unauthorized access.,D,False
223,Why is CPU cache useful in computing?,It compresses files.,It stores frequently used data nearby.,It extends battery life.,It controls screen brightness.,B,False
224,Why is accuracy alone misleading in imbalanced data?,It changes the loss function.,It ignores the minority class performance.,It removes class labels.,It lowers model complexity.,B,True
225,Why do we compress files before transmission?,To change file format.,To reduce the size for faster transfer.,To secure the content.,To rename the extension.,B,True
226,Why is latency important in real-time systems?,It controls display resolution.,It changes hardware speed.,It encrypts voice data.,It impacts how quickly responses are received.,D,True
227,Why do we use the 'ping' command?,To check network connectivity.,To trace active ports.,To increase download speed.,To reset the modem.,A,False
228,Why is modular code preferred in large projects?,It runs on mobile faster.,It's easier to maintain and debug.,It rewrites itself.,It blocks external updates.,B,False
229,Why is MFA considered a best practice?,It renames login fields.,It hides password length.,It disables device syncing.,It reduces risk with multiple verification steps.,D,True
230,Why are backups essential in IT systems?,They restore data after loss or failure.,They reduce CPU usage.,They double hard drive space.,They convert files to apps.,A,True
191,Why do cloud-native applications benefit from microservices?,They allow independent deployment and scaling.,They disable version control.,They run only on one server.,They store logs in shared folders.,A,True
192,Why is HTTPS preferred for e-commerce websites?,"It encrypts data, ensuring secure transactions.",It supports only one browser type.,It compresses shopping cart size.,It reduces webpage loading speed.,A,True
193,Why is feature selection used before training a model?,It adds noise to training data.,It deletes all output labels.,It removes irrelevant inputs to improve accuracy.,It sorts columns alphabetically.,C,True
194,Why are edge computing solutions gaining popularity?,They use centralized servers only.,They reduce latency by processing data near the source.,They store backups in the cloud.,They slow down client responses.,B,True
195,Why is a confusion matrix useful in classification problems?,It visualizes true/false positives and negatives.,It changes output labels.,It compresses feature sets.,It measures training time.,A,True
196,Why do DevOps teams use CI/CD pipelines?,They delete code after deployment.,They improve internet speed.,They automate integration and delivery steps.,They increase server temperature.,C,True
197,Why is anomaly detection important in cybersecurity?,It locks user accounts.,It changes encryption keys.,It identifies unusual patterns that may indicate threats.,It shuts down all systems.,C,True
198,Why do we need encryption in communication?,To speed up file downloads.,To hide screen brightness.,To improve keyboard accuracy.,To protect information from unauthorized access.,D,True
199,Why is the softmax function used in classification?,It renames class labels.,It filters missing values.,It adds training noise.,It converts outputs into probabilities.,D,True
200,Why is monitoring CPU usage critical in servers?,To detect overload and maintain performance.,To rename operating systems.,To cool the hard disk.,To install graphic drivers.,A,True
201,Why is a GPU better than a CPU for deep learning?,It stores more hard disk space.,It processes parallel tasks efficiently.,It deletes test datasets.,It lowers the model's size.,B,False
202,Why is regularization used in machine learning?,To duplicate hidden layers.,To clean missing data entries.,To sort variables alphabetically.,To reduce overfitting by penalizing complexity.,D,True
203,Why do developers use REST APIs?,They allow standardized access to web services.,They encrypt HTTP headers.,They restart servers automatically.,They store data as audio files.,A,True
204,Why is JSON favored over XML in APIs?,It changes IP addresses.,It replaces HTML in browsers.,It supports images directly.,It's lighter and easier to parse.,D,False
205,Why is recall important in a classification model?,It measures how many actual positives were identified.,It increases test set length.,It counts all true negatives.,It filters noisy outputs.,A,True
206,Why is container orchestration needed in cloud apps?,It encrypts Docker images.,It manages deployment and scaling of containers.,It blocks internet traffic.,It builds new operating systems.,B,True
207,Why is the Adam optimizer popular in deep learning?,It shortens training data.,It increases batch size.,It replaces backpropagation.,It adapts learning rates for each parameter.,D,True
208,Why is IPv6 adoption important?,It runs only on fiber networks.,It disables DNS lookups.,It provides more address space than IPv4.,It uses longer domain names.,C,True
209,Why is Git used in software development?,It tracks changes and supports collaboration.,It scans for malware.,It stores only video files.,It compiles the codebase.,A,True
210,Why is synthetic data used in AI training?,It lowers GPU usage.,It supplements real data when limited.,It skips data preprocessing.,It prevents model training.,B,True
211,Why is transfer learning used in AI?,It skips the training process.,It reuses knowledge from existing models.,It stores new datasets locally.,It reduces server temperature.,B,True
212,Why is SSH used instead of Telnet?,It encrypts data during transfer.,It removes DNS entries.,It adds new network devices.,It boosts internet speed.,A,False
213,Why is anomaly detection used in monitoring systems?,It flags events that deviate from norms.,It converts logs to images.,It labels training data.,It delays alerts by design.,A,True
214,Why is a confusion matrix helpful?,It predicts future outcomes.,It measures training loss.,It replaces test data.,It shows classification performance.,D,False
215,Why is dropout used during training?,It adjusts learning rate.,It resets batch size.,It prevents overfitting by turning off neurons.,It adds noise to output.,C,True
216,Why is an API gateway useful in microservices?,It encrypts mobile apps.,It slows traffic.,It merges logs into one file.,It manages requests between services.,D,False
217,Why is indexing used in databases?,It speeds up search queries.,It hides primary keys.,It reduces storage space.,It filters column types.,A,False
218,Why is a load balancer used in web services?,It splits traffic among servers.,It generates backup logs.,It deletes cache on reload.,It switches IP addresses.,A,False
219,Why is multi-factor authentication safer?,It combines multiple ID methods.,It deletes session history.,It hides the login screen.,It uses stronger passwords.,A,False
220,Why are epochs important in training models?,They define passes through data.,They replace optimizers.,They modify input format.,They reduce feature count.,A,False
221,Why is HTTPS considered secure for data transfer?,It hides the URL path.,It encrypts the communication channel.,It reduces file size.,It blocks image loading.,B,True
222,Why do we use firewalls in network systems?,They restart applications.,They block unauthorized access.,They scan user photos.,They delete backup files.,B,False
223,Why is CPU cache useful in computing?,It compresses files.,It stores frequently used data nearby.,It controls screen brightness.,It extends battery life.,B,False
224,Why is accuracy alone misleading in imbalanced data?,It ignores the minority class performance.,It lowers model complexity.,It removes class labels.,It changes the loss function.,A,True
225,Why do we compress files before transmission?,To secure the content.,To rename the extension.,To reduce the size for faster transfer.,To change file format.,C,True
226,Why is latency important in real-time systems?,It controls display resolution.,It impacts how quickly responses are received.,It encrypts voice data.,It changes hardware speed.,B,True
227,Why do we use the 'ping' command?,To reset the modem.,To trace active ports.,To increase download speed.,To check network connectivity.,D,False
228,Why is modular code preferred in large projects?,It's easier to maintain and debug.,It rewrites itself.,It runs on mobile faster.,It blocks external updates.,A,False
229,Why is MFA considered a best practice?,It disables device syncing.,It renames login fields.,It hides password length.,It reduces risk with multiple verification steps.,D,True
230,Why are backups essential in IT systems?,They double hard drive space.,They convert files to apps.,They restore data after loss or failure.,They reduce CPU usage.,C,True
231,Why is model interpretability important in AI?,It speeds up inference time.,It limits the model size.,It helps understand how predictions are made.,It reduces data noise.,C,True
232,Why are strong passwords recommended?,They make it harder to guess.,They update apps faster.,They boost internet speed.,They shorten session time.,A,False
233,Why is GitHub useful for developers?,It compresses video files.,It installs device drivers.,It hosts and manages code online.,It runs antivirus checks.,C,False
234,Why do cloud apps need autoscaling?,To store user credentials.,To handle traffic changes without manual work.,To reset all app settings.,To duplicate mobile data.,B,True
235,Why is the learning rate important in training?,It sorts input features.,It controls how much weights are updated.,It hides output classes.,It deletes the cost function.,B,True
236,Why is data anonymization used?,To randomize algorithm output.,To protect user identity in shared data.,To filter training logs.,To encrypt IP addresses.,B,True
237,Why is a test set used in machine learning?,To tune learning rate.,To evaluate model performance on new data.,To drop noisy samples.,To create new classes.,B,True
238,Why do web apps use sessions?,To store user state between requests.,To prevent screen flicker.,To block slow users.,To encrypt webpage titles.,A,True
239,Why is syntax highlighting helpful in code editors?,It compiles scripts faster.,It removes syntax rules.,It makes code easier to read.,It doubles runtime.,C,False
240,Why is server monitoring essential for uptime?,It helps detect problems early.,It changes IP settings.,It shuts down all logs.,It uploads new hardware.,A,False
241,Why is tokenization used in NLP pipelines?,It translates speech to text.,It summarizes long text.,It removes grammar tags.,It splits text into smaller units.,D,False
242,Why is bias-variance tradeoff important in modeling?,It lowers dataset memory.,It filters missing rows.,It sorts predictions by size.,It balances model accuracy and generalization.,D,True
243,Why is load testing performed on apps?,To reduce cache size.,To compile the UI code.,To install extra plugins.,To measure performance under stress.,D,True
244,Why do we use cron jobs in servers?,To schedule repeated tasks automatically.,To improve graphics rendering.,To block malware attempts.,To extend server memory.,A,True
245,Why is HTTPS safer than HTTP?,It uses encryption for all traffic.,It hides user preferences.,It speeds up DNS resolution.,It updates browser plugins.,A,False
246,Why are microservices loosely coupled?,So they share data files.,So each part can change independently.,So they print console logs.,So they run on a single port.,B,False
247,Why is data visualization important?,It makes complex data easier to grasp.,It hides data patterns.,It lowers CPU usage.,It adds colors to code.,A,True
248,Why is ReLU used in neural networks?,It compresses matrix output.,It's fast and avoids vanishing gradients.,It adds new hidden layers.,It predicts future classes.,B,True
249,Why do many APIs return JSON data?,It encrypts all keys.,It stores data as tables.,It removes nested fields.,It is lightweight and easy to parse.,D,True
250,Why is an SSL certificate vital for a website?,"It enables secure, encrypted traffic.",It blocks JavaScript calls.,It hides image names.,It shortens domain length.,A,True
251,Why is two-factor authentication more secure than passwords?,It replaces firewalls.,It blocks JavaScript files.,It removes login logs.,It adds a second verification layer.,D,False
252,Why do we normalize data in preprocessing?,To shorten training time.,To bring features to the same scale.,To increase output classes.,To remove target values.,B,False
253,Why are containers better than VMs for microservices?,They are lightweight and start faster.,They encrypt all traffic.,They require no storage.,They use only static IPs.,A,True
254,Why is Python popular for data science?,It runs only on Windows.,It has rich libraries and clean syntax.,It limits function size.,It skips compile time.,B,True
255,Why do we validate data before training?,To ensure correctness and consistency.,To reduce class imbalance.,To create new features.,To merge duplicate fields.,A,True
256,Why is serverless architecture scalable?,It runs on static files.,It skips deployment scripts.,It adjusts resources based on load.,It blocks code versioning.,C,False
257,Why is version control essential in teams?,It speeds up download time.,It auto-generates tests.,It clears log history.,It tracks and merges code changes.,D,False
258,Why do we perform data cleaning?,To enhance UI colors.,To fix or remove invalid entries.,To train the model faster.,To drop output columns.,B,False
259,Why do APIs use rate limiting?,To slow down browsers.,To encrypt user tokens.,To remove API keys.,To prevent abuse and overload.,D,False
260,Why are CDN networks faster for users?,They boost screen resolution.,They change page colors.,They delay JavaScript.,They serve content from nearby servers.,D,True
261,Why is hyperparameter tuning important in ML?,It resets weights.,It lowers dataset size.,It improves model performance.,It hides test labels.,C,False
262,Why are logs useful in debugging?,They clean cache folders.,They compile the app.,They show what happened step by step.,They encrypt output files.,C,True
263,Why do we use CI/CD in DevOps?,To shrink container sizes.,To automate build and deployment.,To manage customer support.,To generate UI mockups.,B,False
264,Why is model evaluation necessary?,It checks how well a model performs.,It changes activation functions.,It updates the UI.,It reduces test data.,A,False
265,Why is class imbalance a problem?,It increases training speed.,It filters noise better.,It improves accuracy.,It skews model predictions.,D,False
266,Why do we use JSON in web APIs?,It's readable and light.,It's based on HTML.,It's built from SQL.,It's used for styling.,A,False
267,Why is load balancing used in servers?,It spreads traffic evenly.,It encrypts form data.,It blocks cookies.,It lowers user count.,A,False
268,Why is HTTPS important for logins?,It reduces load time.,It skips routing checks.,It hides input fields.,It encrypts sensitive data.,D,False
269,Why do we use environment variables?,They protect secrets in code.,They compile faster.,They log database access.,They boost performance.,A,False
270,Why is prompt engineering useful in LLMs?,It sends alerts.,It shapes output by framing input.,It trains new models.,It builds web apps.,B,True
271,Why is cross-validation preferred in model evaluation?,It tests model performance across subsets.,It hides validation loss.,It merges train and test sets.,It speeds up accuracy checks.,A,True
272,Why do we use clustering in data science?,To label images manually.,To remove outliers.,To group similar data points.,To encrypt the dataset.,C,False
273,Why are learning curves useful?,They detect syntax errors.,They split validation sets.,They reduce training data.,They show model performance over time.,D,True
274,Why is data labeling important in supervised learning?,It deletes duplicates.,It helps map inputs to correct outputs.,It compresses image data.,It lowers feature count.,B,True
275,Why do neural nets use hidden layers?,To simplify gradients.,To block overfitting.,To capture complex patterns.,To reduce noise.,C,False
276,Why is the F1 score used in imbalanced data?,It sorts predictions.,It ignores false negatives.,It lowers recall rate.,It balances precision and recall.,D,False
277,Why is a hash function used in security?,It changes data types.,It uploads backups.,It maps input to a fixed-size output.,It stores cookies.,C,True
278,Why is a test suite used in software development?,It changes app design.,It encrypts all functions.,It restarts the server.,It verifies that code behaves as expected.,D,True
279,Why is the principle of least privilege important?,It limits access to only what is needed.,It shares data with all users.,It disables backups.,It locks admin settings.,A,True
280,Why are scalability tests critical before deployment?,To hide memory usage.,To ensure the app handles increased load.,To reduce UI rendering.,To increase DNS requests.,B,True
281,Why is a data lake used in big data systems?,It blocks API requests.,"It stores raw, unstructured data.",It removes outdated backups.,It filters all network logs.,B,False
282,Why is a primary key important in databases?,It uniquely identifies each row.,It removes duplicate rows.,It links tables automatically.,It encrypts table data.,A,False
283,Why is caching used in web apps?,It stores user passwords.,It speeds up page load times.,It compresses font sizes.,It blocks browser history.,B,False
284,Why is a staging environment used?,It hides database errors.,It renames project files.,It doubles app size.,It tests changes before production.,D,True
285,Why do developers use virtual environments in Python?,They encrypt source code.,They connect APIs.,They compile Python code.,They isolate project dependencies.,D,False
286,Why is normalization important in databases?,It joins multiple schemas.,It reduces data redundancy.,It skips field constraints.,It stores encrypted logs.,B,False
287,Why do we use JOIN in SQL?,To backup queries.,To delete similar records.,To encrypt passwords.,To combine rows from related tables.,D,True
288,Why is exploratory data analysis done first?,To build neural networks.,To increase data size.,To understand patterns in the data.,To split datasets.,C,True
289,Why do APIs return status codes?,To show the result of a request.,To rename routes.,To encrypt tokens.,To delete request headers.,A,False
290,Why is batch processing used in data systems?,It updates logs daily.,It compresses text fields.,It streams real-time data.,It handles large volumes at once.,D,False
291,Why is unit testing important in development?,It hides log outputs.,It runs user sessions.,It helps ensure code works as expected.,It encrypts project files.,C,True
292,Why is reproducibility valued in data science?,It blocks file sharing.,It ensures consistent results with the same inputs.,It removes null values.,It reduces computation cost.,B,True
293,Why is encryption used in messaging apps?,It tracks user behavior.,It syncs contact lists.,It keeps conversations private.,It compresses voice notes.,C,False
294,Why is agile methodology popular?,"It supports fast, flexible development.",It removes testing phases.,It locks project scope.,It skips documentation.,A,True
295,Why is cloud backup useful?,It protects data from local failure.,It erases deleted files.,It slows network speed.,It renames file extensions.,A,False
296,Why do we use data pipelines?,They encrypt dashboards.,They visualize code.,They automate data flow and processing.,They compress backup files.,C,True
297,Why is server uptime monitoring essential?,It helps avoid unexpected downtimes.,It increases CPU clock speed.,It resets all server logs.,It filters unauthorized users.,A,False
298,Why is anomaly detection used in finance?,It blocks user logins.,It spots suspicious transactions.,It resets password length.,It increases account balance.,B,False
299,Why is code refactoring done?,It reduces screen glare.,It encrypts comments.,It deletes dead links.,It improves code structure without changing behavior.,D,True
300,Why do we use DevOps practices?,They improve collaboration and delivery speed.,They compile JavaScript.,They lock version history.,They split project files.,A,True
301,Why is versioning important in API development?,It hides error codes.,It speeds up request time.,It blocks user access.,It ensures backward compatibility.,D,False
302,Why is semantic HTML used in web development?,It deletes extra lines.,It increases image resolution.,It adds animation effects.,It improves accessibility and SEO.,D,False
303,Why is data wrangling essential in analysis?,It cleans and reshapes messy data.,It hides missing values.,It compresses datasets.,It sorts labels alphabetically.,A,False
304,Why is latency a key metric in networking?,It reduces browser size.,It encrypts file names.,It reroutes DNS entries.,It measures delay in data transfer.,D,True
305,Why do developers use linters?,To compress the repo.,To catch errors and enforce code style.,To generate tests.,To render images faster.,B,True
306,Why are graphs used in knowledge representation?,They show relationships between entities.,They reduce CPU cycles.,They clean training data.,They rank web pages.,A,True
307,Why is edge computing used in IoT?,It encrypts device logs.,It reduces data travel distance.,It backs up cloud files.,It merges IP addresses.,B,False
308,Why is the minimum viable product (MVP) approach effective?,It validates ideas with minimal effort.,It skips testing stages.,It limits user feedback.,It removes marketing needs.,A,True
309,Why is containerization helpful in deployment?,It shortens Python scripts.,It disables REST APIs.,It encrypts YAML files.,It makes apps portable across systems.,D,True
310,Why is database indexing a performance booster?,It speeds up data retrieval.,It hides joins.,It compresses keys.,It merges columns.,A,False
311,Why do neurons in the brain form synaptic connections?,To transmit signals between cells.,To digest proteins.,To increase blood flow.,To produce hormones.,A,True
312,Why is the hippocampus vital for memory?,It processes visual input.,It regulates heartbeat.,It helps form and store memories.,It controls reflexes.,C,False
313,Why do enzymes speed up chemical reactions?,They raise cell temperature.,They consume oxygen.,They lower the activation energy.,They change DNA sequences.,C,False
314,Why is the placebo effect significant in studies?,It ensures double-blinding.,It controls the sample size.,It removes test bias.,It shows how belief can influence outcomes.,D,True
315,Why is dopamine linked to motivation and reward?,It influences pleasure and reinforcement.,It digests nutrients.,It stores calcium.,It increases heart rate.,A,True
316,Why is REM sleep important?,It's linked to dreaming and memory.,It raises blood sugar.,It burns fat faster.,It strengthens bones.,A,True
317,Why is the cerebellum essential for coordination?,It interprets sounds.,It regulates hunger.,It fine-tunes motor movements.,It filters toxins.,C,False
318,Why is serotonin linked to mood?,It fuels muscle growth.,It helps regulate emotions.,It breaks down glucose.,It controls vision.,B,False
319,Why is homeostasis crucial in biology?,It causes mutation.,It speeds up reactions.,It removes DNA errors.,It maintains internal balance.,D,False
320,Why is Pavlov's experiment important in psychology?,It defined IQ testing.,It mapped brain regions.,It showed language use.,It demonstrated classical conditioning.,D,True
321,Why is natural selection central to evolution?,It maps brain structure.,It describes cell division.,It predicts mating behavior.,It explains how traits that aid survival spread.,D,True
322,Why do white blood cells protect the body?,They produce insulin.,They store energy.,They deliver oxygen.,They destroy harmful invaders.,D,False
323,Why is the amygdala linked to fear?,It boosts heart function.,It increases muscle tone.,It helps process emotional responses.,It controls balance.,C,True
324,Why is behavioral therapy used in mental health?,It boosts digestion.,It helps change negative thought patterns.,It regulates sleep.,It tracks body temperature.,B,True
325,Why are stem cells medically valuable?,They store memories.,They break down fat.,They can become many types of cells.,They kill bacteria.,C,True
326,Why is Maslow’s hierarchy important in psychology?,It scores intelligence.,It treats eating disorders.,It explains human motivation and needs.,It studies vision.,C,True
327,Why do vaccines build immunity?,They train the body to fight disease.,They cure infections directly.,They clean the blood.,They raise body temperature.,A,False
328,Why is the prefrontal cortex important?,It aids breathing.,It stores visual data.,It handles decision-making and planning.,It controls reflexes.,C,True
329,Why is the scientific method key in research?,It limits experiment size.,It provides a structured way to test ideas.,It shows public opinion.,It proves all hypotheses.,B,True
330,Why is metabolism vital for life?,It supports energy production in cells.,It stores excess vitamins.,It makes proteins.,It forms white blood cells.,A,True
331,Why is observational learning important in psychology?,It predicts language acquisition.,It explains memory loss.,It shows how behavior is learned by watching others.,It monitors vital signs.,C,True
332,Why do cells undergo mitosis?,To transfer DNA.,To remove bacteria.,To create identical daughter cells.,To digest nutrients.,C,True
333,Why is cortisol known as a stress hormone?,It’s released during stress to help respond.,It improves sleep.,It sharpens vision.,It lowers blood pressure.,A,True
334,Why is peer review essential in science?,It encrypts reports.,It validates findings through critique.,It speeds up publication.,It replaces lab tests.,B,True
335,Why is self-actualization the top of Maslow’s hierarchy?,It regulates emotions.,It controls anxiety.,It represents reaching full potential.,It reflects basic needs.,C,True
336,Why is the autonomic nervous system critical?,It digests complex carbs.,It controls involuntary body functions.,It repairs muscle tissue.,It stores genetic info.,B,True
337,Why is cognitive dissonance uncomfortable?,It triggers hunger.,It reduces memory strength.,It results from conflicting beliefs.,It affects heart rate.,C,False
338,Why is the spinal cord vital to the nervous system?,It stores red blood cells.,It transmits signals between brain and body.,It filters waste.,It cools the brain.,B,True
339,Why is empathy important in social behavior?,It raises blood oxygen.,It reduces eye strain.,It improves digestion.,It helps people understand others’ feelings.,D,True
340,Why is the endocrine system essential in the body?,It supports bone movement.,It filters air.,It stores white cells.,It produces hormones for regulation.,D,True
341,Why is the limbic system important in psychology?,It manages muscle movement.,It strengthens bones.,It filters spinal signals.,It regulates emotions and memory.,D,False
342,Why is protein synthesis essential in biology?,It speeds up cell death.,It builds the proteins needed for life.,It breaks down enzymes.,It filters cellular waste.,B,True
343,Why is exposure therapy used in anxiety treatment?,It blocks stress hormones.,It helps patients face and reduce fears.,It increases memory recall.,It boosts metabolism.,B,True
344,Why is osmosis crucial for cell survival?,It stores glucose.,It balances water across cell membranes.,It prevents nerve impulses.,It absorbs oxygen.,B,True
345,Why is classical conditioning studied in psychology?,It increases neural speed.,It shows how behaviors are learned through association.,It repairs brain damage.,It tracks hormone levels.,B,True
346,Why is insulin important for the human body?,It strengthens ligaments.,It stores protein.,It regulates blood sugar levels.,It forms blood cells.,C,False
347,Why is short-term memory limited in capacity?,It deletes emotional memories.,It stores sensory input.,It slows thought speed.,It can hold only a few items briefly.,D,False
348,Why do antidepressants affect serotonin levels?,To increase bone density.,To help balance mood in patients.,To block pain receptors.,To improve lung capacity.,B,False
349,Why is blood pressure regulation important?,It maintains safe circulation levels.,It processes vision data.,It clears brain fog.,It filters white cells.,A,True
350,Why is behavioral reinforcement used in training?,It raises resting heart rate.,It stops reflex loops.,It strengthens desired responses through rewards.,It shrinks emotional bias.,C,True
351,Why is the skin considered the first line of defense?,It produces antibodies.,It stores red blood cells.,It forms a physical barrier against pathogens.,It boosts energy.,C,True
352,Why is the scientific method iterative?,It avoids data collection.,It ends after one trial.,It only applies to physics.,It evolves as new evidence is found.,D,False
353,Why is the sympathetic nervous system activated in emergencies?,It boosts hearing.,It prepares the body for fight or flight.,It slows breathing.,It controls digestion.,B,True
354,Why are placebos used in clinical trials?,To measure effects of treatment versus belief.,To test for allergies.,To reduce dosage.,To track hydration.,A,True
355,Why is the cerebrum key in complex thought?,"It handles logic, memory, and decisions.",It controls movement only.,It stores oxygen.,It filters toxins.,A,True
356,Why are electrolytes essential in biology?,They burn calories.,They dissolve protein.,They boost hormone levels.,They help cells transmit electrical signals.,D,True
357,Why is behavioral psychology focused on observable actions?,It enhances taste perception.,It tests muscle strength.,It studies behavior that can be measured.,It analyzes dreams.,C,True
358,Why is the hypothalamus vital to homeostasis?,It powers brain waves.,"It regulates temperature, hunger, and hormones.",It produces white cells.,It manages breathing rhythm.,B,True
359,Why are neurotransmitters important in the nervous system?,They regulate sleep cycles.,They increase lung size.,They clean blood vessels.,They carry signals between neurons.,D,False
360,Why is experimental control crucial in research?,It removes bias automatically.,It speeds up data entry.,It isolates variables to test causality.,It summarizes findings.,C,True
361,Why is genetic variation important in populations?,It deletes old genes.,It stops DNA replication.,It increases chances of survival and adaptation.,It reduces reproduction.,C,True
362,Why is the myelin sheath important for neurons?,It filters impulses.,It produces red blood cells.,It speeds up signal transmission.,It stores neurotransmitters.,C,False
363,Why is the placebo effect a concern in experiments?,It prevents bias.,It raises drug costs.,It speeds up dosage.,It can influence results without real treatment.,D,True
364,Why is the retina essential for vision?,It contains cells that detect light.,It supports eye movement.,It filters sound.,It digests nutrients.,A,True
365,Why is reinforcement scheduling studied in behaviorism?,It blocks motor signals.,It affects how often behaviors are repeated.,It boosts memory.,It increases brain size.,B,True
366,Why is circadian rhythm important in biology?,It regulates sleep-wake cycles.,It stops infections.,It builds muscles.,It digests proteins.,A,True
367,Why is the frontal lobe important for personality?,It regulates heartbeat.,It contributes to self-control and decision-making.,It stores vitamins.,It filters pain.,B,True
368,Why is schema theory used in psychology?,It explains how knowledge is organized and used.,It lowers stress.,It alters brain chemistry.,It tracks emotional triggers.,A,True
369,Why is the immune response specific to antigens?,It blocks digestion.,It filters vision.,It targets only recognized threats.,It boosts respiration.,C,True
370,Why is the visual cortex critical for seeing?,It stores speech patterns.,It controls blinking speed.,It processes visual input from the eyes.,It forms memories.,C,True
371,Why is the parasympathetic nervous system important?,It calms the body after stress.,It increases blood pressure.,It blocks muscle reflexes.,It speeds up digestion.,A,False
372,Why is the thalamus considered a relay station in the brain?,It triggers adrenaline.,It regulates reflex arcs.,It stores motor memories.,It directs sensory information to the cortex.,D,True
373,Why is classical conditioning relevant in advertising?,It increases memory span.,It links positive feelings with products.,It controls shopping times.,It lowers costs.,B,True
374,Why is the blood-brain barrier critical?,It regulates vision.,It enhances hearing.,It increases oxygen flow.,It protects the brain from harmful substances.,D,True
375,Why is the spinal reflex arc important?,It slows down muscle contraction.,It stores pain information.,It increases nerve size.,It allows fast responses without brain input.,D,True
376,Why is the preoperational stage key in Piaget’s theory?,It ends physical growth.,It covers language loss.,It forms scientific reasoning.,It involves symbolic thinking and egocentrism.,D,True
377,Why is the amygdala overactive in anxiety disorders?,It heightens fear response to perceived threats.,It slows down thoughts.,It reduces cortisol.,It filters dopamine.,A,True
378,Why is long-term potentiation studied in neuroscience?,It slows reaction time.,It helps explain how memories are strengthened.,It prevents neuron death.,It blocks pain receptors.,B,True
379,Why is operant conditioning used in behavior training?,It boosts IQ scores.,It shapes actions using rewards and punishments.,It shortens learning time.,It hides emotional triggers.,B,True
380,Why is the pituitary gland called the master gland?,It stores calcium.,It filters blood toxins.,It produces insulin.,It regulates many other endocrine glands.,D,True
381,Why is the medulla oblongata essential for survival?,It controls vital functions like breathing and heart rate.,It stores long-term memories.,It digests nutrients.,It generates motor impulses.,A,True
382,Why is observational research used in psychology?,It allows studying behavior in natural settings.,It boosts cognitive function.,It tracks hormonal levels.,It creates artificial responses.,A,True
383,Why is the Broca's area important for language?,It stores vocabulary.,It helps with speech production.,It manages hearing.,It controls reading speed.,B,False
384,Why is the sodium-potassium pump vital in neurons?,It releases serotonin.,It speeds up reflexes.,It maintains the resting potential.,It creates myelin.,C,True
385,Why is working memory important in cognitive tasks?,It encodes long-term memory.,It stores emotional reactions.,It temporarily holds information for processing.,It filters distractions.,C,True
386,Why is habituation considered a basic form of learning?,It involves decreased response to repeated stimuli.,It increases cognitive load.,It reinforces new behaviors.,It activates reward systems.,A,True
387,Why is the occipital lobe crucial for vision?,It processes visual information from the eyes.,It interprets language.,It adjusts body temperature.,It balances sound input.,A,True
388,Why is informed consent important in research ethics?,It anonymizes results.,It shortens the experiment.,It respects participants' autonomy and choice.,It increases survey size.,C,True
389,Why is the placebo group needed in clinical trials?,It extends trial length.,It hides data anomalies.,It ensures double-blind design.,It helps isolate the treatment effect.,D,False
390,Why is acetylcholine important in muscle control?,It balances blood sugar.,It reduces stress levels.,It cools down tissues.,It triggers muscle contractions.,D,False
391,Why is the hypothalamus important in maintaining body temperature?,It circulates blood.,It acts as the body’s thermostat.,It pumps hormones.,It stores oxygen.,B,True
392,Why is the temporal lobe essential for hearing?,It processes auditory information.,It regulates sleep patterns.,It stores immune responses.,It balances body movements.,A,False
393,Why is the concept of neuroplasticity groundbreaking?,It fixes bone fractures.,It increases spinal growth.,It stores hormone levels.,It shows the brain can adapt and change.,D,True
